Ürün Adı,Kumaş Tipi,Materyal,Kalıp,Kol Boyu,Persona,Kol Tipi,Desen,Yaka Tipi,Renk,Ürün Detayı,Cep,Koleksiyon,Astar Durumu,Boy,Siluet,Ortam,Dokuma Tipi,Baskı/Nakış Tekniği,Kemer/Kuşak Durumu,Sürdürülebilirlik Detayı,Paket İçeriği,Yaş,Sezon,Menşei,Üretici Bilgisi,Ek Özellik,Kapama Şekli,Kalınlık,Kap
TRENDYOLMİLLA Kahverengi Fitted/Vücuda Oturan Askılı Maxi Esnek Örme Kalem Elbise TWOSS23EL02435,Örme,Elastan,Slim,Askılı,Fashion Forward,Standart Kol,Düz,Kare Yaka,Kahverengi,,Cepsiz,Ramadan,Astarsız,Maxi,Bodycone,Casual/Günlük,Kalın Sandy,Baskısız,Kemersiz,Hayır,Tekli,Tüm Yaş Grupları,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Yağ Yeşili Dokulu Kumaş Dik Yaka Vücuda Oturan Esnek Maxi Örme Elbise TWOSS25EL00163,Örme,,Regular,Kolsuz,Cool & Comfort,Standart Kol,Düz,Dik Yaka,Yeşil,,,Ramadan,Astarsız,Maxi,Bodycone,Casual/Günlük,Dokulu,,,Hayır,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Limited Edition Yağ Yeşili Fırfır Detaylı Bodycone/Vücuda Oturan Mini Örme Elbise TWOSS25EL00591,Örme,,Slim,Kısa,Cool & Comfort,Standart Kol,Düz,Dik Yaka,Yeşil,Fırfırlı,,Ramadan,Astarsız,Mini,Eteği Fırfırlı,Casual/Günlük,Dokulu,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Pembe Çizgili Kruvaze Yaka Midi Dokuma Elbise TWOSS23EL02233,Dokuma,%100 Pamuk,Regular,Kısa,Cool & Comfort,Balon Kol,Çizgili,Gömlek Yaka,Pembe,,,,Astarsız,Midi,Skater,Casual/Günlük,İpliği boyalı,,Kemersiz,Hayır,,Tüm Yaş Grupları,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Eteği Belden Açılan,,,
TRENDYOLMİLLA Siyah Kemerli Düz A Kesim Yarım Patlı Mini  Dokuma Elbise TWOSS25EL00551,Dokuma,,Regular,Kolsuz,Cool & Comfort,Büzgülü/Fırfırlı Kol,Düz,Gömlek Yaka,Siyah,Yarım Patlı,,,Astarsız,Mini,A-line,Casual/Günlük,Aerobin,,Kemerli,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,A Kesim,,,
TRENDYOLMİLLA Kahverengi Düz A Kesim Nakışlı Midi  Dokuma Elbise TWOSS25EL00059,Dokuma,,Regular,Kolsuz,Smart,Standart Kol,Düz,V Yaka,Kahverengi,Nakışlı,,,Astarlı,Midi,A-line,Casual/Günlük,Keten görünümlü,,,,,,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,A Kesim,,,
TRENDYOLMİLLA Kahverengi Eteği Belden Açılan Triko Bant Detaylı Mini Dokuma Elbise TWOSS25EL00751,Dokuma,,Regular,Kolsuz,Cool & Comfort,Standart Kol,Düz,V Yaka,Kahverengi,,,,Astarsız,Mini,Skater,Casual/Günlük,Finike,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Eteği Belden Açılan,,,
TRENDYOLMİLLA Mor Etnik Desenli Belden Açılan Fırfırlı Mini Dokuma Elbise TWOSS24EL00745,Dokuma,Polyester,Regular,Kısa,Feminine,Standart Kol,Çiçekli,Bisiklet Yaka,Mor,Fırfırlı,Cepsiz,,Astarlı,Mini,Skater,Gündüz / Gece,Şifon,,Kemersiz,Hayır,,Tüm Yaş Grupları,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Eteği Belden Açılan,,,
TRENDYOLMİLLA Saks Düz Kesim Cepli Gömlek Yaka Keten Görünümlü Mini Dokuma Elbise TWOSS22EL1068,Dokuma,%100 Pamuk,Relaxed,Kolsuz,Cool & Comfort,Standart Kol,Düz,Gömlek Yaka,Mavi,,,,Astarsız,Mini,Shift,Casual/Günlük,Keten görünümlü,,Kemersiz,Hayır,,Tüm Yaş Grupları,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Düz Kesim,,,
TRENDYOLMİLLA Yeşil Soyut Midi Dokuma Elbise TWOSS23EL00487,Dokuma,,Regular,Kısa,Cool & Comfort,Standart Kol,Soyut,Kare Yaka,Yeşil,,,,Astarsız,Midi,A-line,Casual/Günlük,Shally,,Kemersiz,Hayır,,Tüm Yaş Grupları,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,A Kesim,,,
TRENDYOLMİLLA Bordo Çiçekli Eteği Belden Açılan Gipeli Mini  Dokuma Elbise TWOSS25EL00400,Dokuma,,Regular,Kısa,Cool & Comfort,Balon Kol,Çiçekli,Kare Yaka,Bordo,Gipeli,,Vacation,Astarsız,Mini,Skater,Casual/Günlük,Shally,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Eteği Belden Açılan,,,
TRENDYOLMİLLA Siyah Düz Yırtmaçlı Maxi Piliseli A-line Esnek  Örme Elbise TWOSS25EL00170,Örme,,Relaxed,Kolsuz,Cool & Comfort,Standart Kol,Düz,Halter Yaka,Siyah,Yırtmaçlı,,Ramadan,Astarlı,Maxi,A-line,Casual/Günlük,Tül,,,Hayır,,,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Mavi Carmen Yaka Skater/Belden Açılan Fitilli Esnek Mini Örme Elbise TWOSS25EL00472,Örme,,Regular,Kısa,Feminine,Düşük Kol,Çiçekli,Carmen Yaka,Mavi,,,,Astarsız,Mini,Skater,Casual/Günlük,Polyester Kaşkorse,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Koyu Mavi Kuşaklı Maxi Modest Denim Gömlek Elbise TWOSS24EL00923,Denim,Denim,Regular,Uzun,Cool & Comfort,Mendil Kol,Düz,Gömlek Yaka,Lacivert,,Cepsiz,Ramadan,Astarsız,Maxi,Gömlek Elbise,Casual/Günlük,Rigid,Baskısız,Kemersiz,Hayır,Tekli,Tüm Yaş Grupları,Tüm Sezonlar,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,Kuşaklı,,
TRENDYOLMİLLA Siyah Astarlı Dantel Örme Midi Elbise TPRAW25EL00120,Örme,Polyester,Fitted,Askılı,Feminine,Standart Kol,Düz,Kalp Yaka,Siyah,Dantel Detaylı,,,Astarlı,Midi,Bodycone,Şık/Gece,Dantel,,Kemersiz,Hayır,,Tüm Yaş Grupları,Kış,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Mor-Çok Renkli Çiçek Desenli Saten Dokuma Şık Midi Abiye Elbise TPRSS23EL00305,Dokuma,Polyester Karışımlı,Regular,Askılı,Feminine,Standart Kol,Çiçekli,Degaje Yaka,Çok Renkli,Cut outlı,Cepsiz,,Astarsız,Midi,Shift,Şık/Gece,Saten,,Kemersiz,Hayır,,Tüm Yaş Grupları,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Düz Kesim,,,
TRENDYOLMİLLA Pembe Çiçekli Eteği Belden Açılan Gipeli Midi Dokuma Elbise TWOSS25EL00036,Dokuma,,Regular,Askılı,Cool & Comfort,Standart Kol,Çiçekli,V Yaka,Pembe,,,Vacation,Astarsız,Midi,Skater,Casual/Günlük,Shally,,,,,,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Eteği Belden Açılan,,,
TRENDYOLMİLLA Mürdüm Çiçekli Fırfırlı Mini Dokuma Elbise TWOAW23EL01455,Dokuma,Polyester,Regular,Uzun,Feminine,Balon Kol,Çiçekli,Kalp Yaka,Mor,Fırfırlı,Cepsiz,,Astarlı,Mini,Skater,Gündüz / Gece,Şifon,Baskısız,Kemersiz,Hayır,Tekli,Tüm Yaş Grupları,Kış,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Eteği Belden Açılan,,,
TRENDYOLMİLLA Kırmızı Kemerli Düz A Kesim Yarım Patlı Mini  Dokuma Elbise TWOSS25EL00551,Dokuma,,Regular,Kolsuz,Cool & Comfort,Büzgülü/Fırfırlı Kol,Düz,Gömlek Yaka,Kırmızı,Yarım Patlı,,,Astarsız,Mini,A-line,Casual/Günlük,Aerobin,,Kemerli,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,A Kesim,,,
TRENDYOLMİLLA Kahverengi Düz Eteği Belden Açılan Mini Dokuma Elbise TWOAW25EL00244,Dokuma,Viskoz Karışımlı,Regular,Kolsuz,Smart,Standart Kol,Düz,Bisiklet Yaka,Kahverengi,,,,Astarsız,Mini,Skater,Business,Poliviskon,,Kemersiz,Hayır,,Tüm Yaş Grupları,Tüm Sezonlar,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Eteği Belden Açılan,,,
TRENDYOLMİLLA Siyah Cepli Premium Bisiklet Yaka A-Line Örme Midi Elbise TWOSS24EL00169,Örme,%100 Pamuk,Relaxed,Kısa,Cool & Comfort,Düşük Kol,Düz,Bisiklet Yaka,Siyah,Cep Detaylı,,Ramadan,Astarsız,Midi,T-shirt Elbise,Casual/Günlük,20/1 penye süprem,,Kemersiz,Hayır,,Tüm Yaş Grupları,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Siyah Korse Detaylı Poplin Kısa Elbise TPRAW25EL00108,Dokuma,Pamuklu,Fitted,Uzun,Smart,Standart Kol,Düz,Gömlek Yaka,Siyah,Bağlama Detaylı,Cepsiz,,Astarlı,Mini,Skater,Şık/Gece,Poplin,Baskısız,Kemersiz,Hayır,Tekli,Tüm Yaş Grupları,Kış,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Lacivert Çizgili Eteği Belden Açılan Bisiklet Yaka Mini Poliviskon Dokuma Elbise TWOAW25EL00244,Dokuma,Viskoz Karışımlı,Regular,Kolsuz,Smart,Standart Kol,Düz,Bisiklet Yaka,Lacivert,,,,Astarsız,Mini,Skater,Business,Poliviskon,,Kemersiz,Hayır,,Tüm Yaş Grupları,Tüm Sezonlar,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Eteği Belden Açılan,,,
TRENDYOLMİLLA Ekru Taş İşleme Detaylı Astarlı İnce Tüvit Mini Dokuma Elbise TWOSS25EL00754,Dokuma,,Regular,Kolsuz,Feminine,Standart Kol,Düz,Bisiklet Yaka,Ekru,Taş Aksesuar,,,Astarlı,Mini,Shift,Gündüz / Gece,Tüvit,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Siyah Taş İşleme Detaylı Astarlı İnce Tüvit Mini Dokuma Elbise TWOSS25EL00754,Dokuma,,Regular,Kolsuz,Feminine,Standart Kol,Düz,Bisiklet Yaka,Siyah,Taş Aksesuar,,,Astarlı,Mini,Shift,Gündüz / Gece,Tüvit,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Mavi A Kesim Kare Yaka Kup Detaylı Sırtı Ayar Askılı Astarlı Dokuma Elbise TWOSS25EL00133,Dokuma,,Regular,Askılı,Cool & Comfort,Standart Kol,Düz,Kare Yaka,Mavi,,,Vacation,Astarlı,Maxi,A-line,Casual/Günlük,Keten görünümlü,,,,,,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,A Kesim,,,
TRENDYOLMİLLA Pembe Çiçekli Eteği Belden Açılan Lastikli Maxi Dokuma Elbise TWOSS25EL00570,Dokuma,,Regular,Kısa,Feminine,Mendil Kol,Çiçekli,Bisiklet Yaka,Pembe,Lastikli,,,Astarlı,Midi,Skater,Gündüz / Gece,Şifon,,,,,,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Eteği Belden Açılan,,,
TRENDYOLMİLLA Turuncu-Çok Renkli Soyut Tül Astarlı Örme Midi Elbise TPRSS25EL00134,Örme,,Fitted,Kolsuz,Feminine,Standart Kol,Soyut,V Yaka,Çok Renkli,Büzgülü,,,Astarlı,Midi,Bodycone,Şık/Gece,Tül,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,Vücudu Saran,,,
TRENDYOLMİLLA Beyaz Dantel Bodycone/Vücuda Oturan Askılı Midi Örme Elbise TWOSS25EL00533,Örme,,Slim,Askılı,Fashion Forward,Standart Kol,Düz,Kare Yaka,Beyaz,,,,Astarlı,Midi,Bodycone,Casual/Günlük,Dantel,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Pembe Çiçekli A Kesim Fırfırlı Midi  Dokuma Elbise TWOSS25EL00568,Dokuma,,Regular,Askılı,Feminine,Standart Kol,Çiçekli,V Yaka,Pembe,Fırfırlı,,,Astarlı,Midi,A-line,Gündüz / Gece,Şifon,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,A Kesim,,,
TRENDYOLMİLLA Siyah Bisiklet Yaka Taş Detaylı Shift/Düz Mini Süet Örme Elbise TWOAW24EL00523,Örme,Polyester Karışımlı,Regular,Kısa,Smart,Standart Kol,Düz,Bisiklet Yaka,Siyah,İncili,Cepsiz,,Astarsız,Mini,A-line,Business,Süet,Baskısız,Kemersiz,Hayır,Tekli,Tüm Yaş Grupları,İlkbahar / Sonbahar,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Mürdüm Düz Mini Dokuma Elbise TWOSS25EL00587,Dokuma,,Regular,Truvakar Kol,Cool & Comfort,Yarasa Kol,Düz,Kruvaze,Mor,,,,Astarsız,Mini,A-line,Casual/Günlük,Belmando,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Lacivert Dokuma Detaylı Bodycone/Vücuda Oturan Midi Örme Elbise TWOSS25EL00356,Örme,,Slim,Askılı,Feminine,Standart Kol,Düz,Kare Yaka,Lacivert,Dokuma Detaylı,,,Astarsız,Midi,Bodycone,Casual/Günlük,İnterlok,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Siyah Sıfır Kol Drapeli Bodycone/Vücuda Oturan Esnek Örme Maxi Kalem Elbise TWOSS24EL00101,Örme,Polyester,Slim,Kolsuz,Fashion Forward,Standart Kol,Düz,Dik Yaka,Siyah,Büzgü / Drape,,Ramadan,Astarsız,Maxi,Bodycone,Casual/Günlük,Kalın Sandy,,Kemersiz,Hayır,,Tüm Yaş Grupları,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Mavi Çiçek Baskılı Askılı V Yaka Büzgülü Eteği Volanlı Fitilli Esnek Maxi Örme Elbise TWOSS25EL00239,Örme,,Regular,Askılı,Cool & Comfort,Standart Kol,Çiçekli,V Yaka,Mavi,,,Ramadan,Astarsız,Maxi,Skater,Casual/Günlük,Polyester Kaşkorse,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Haki Dokulu Kumaş Fitted/Vücuda Oturan Ay Kol Esnek Örme Midi Kalem Elbise TWOSS24EL00103,Örme,Elastan,Slim,Kolsuz,Fashion Forward,Ay Kol,Düz,Kayık Yaka,Haki,,Cepsiz,Ramadan,Astarsız,Midi,Bodycone,Casual/Günlük,Dokulu,Baskısız,Kemersiz,Hayır,Tekli,Tüm Yaş Grupları,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Haki Düz Büzgü / Drape Midi Büzgü Drape Detaylı Kruvaze Yaka  Örme Elbise TWOSS25EL00098,Örme,,Slim,Kolsuz,Cool & Comfort,Standart Kol,Düz,Kruvaze,Haki,Büzgü / Drape,,Ramadan,Astarsız,Midi,Bodycone,Casual/Günlük,Kalın Sandy,,,Hayır,,,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,,,
TRENDYOLMİLLA Pudra Balon Etek Detaylı Payet Örme Kısa Elbise TPRSS25EL00119,Örme,,Fitted,Kolsuz,Fashion Forward,Standart Kol,Düz,Straplez,Pembe,Parıltılı,,,Astarsız,Mini,Skater,Şık/Gece,Payet,,,,,,,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,A Kesim,,,
TRENDYOLMİLLA Koyu Mavi Fermuarlı Fitted/Vücuda Oturan Mini Denim Elbise TWOSS24EL00381,Denim,Denim,Fitted,Kısa,Cool & Comfort,Standart Kol,Düz,Gömlek Yaka,Mavi,Fermuar,Cepsiz,Care,Astarsız,Kısa,Basic,Casual/Günlük,Comfort,,Kemersiz,Hayır,,Tüm Yaş Grupları,Yaz,TR,DSM Grup Danışmanlık İletişim ve Satış Ticaret A.Ş.,,Fermuarlı,,
